# Electric Meter Monitor
# Date,2026-04-14 09:02:49
# SampleInterval,400
# Rows,123
# Signal,0,Voltage,V,FF1E90FF,1
# Signal,1,Current,A,FF00DC96,0
# Signal,2,P Active,W,FFFFB932,2
# Signal,3,Q React.,VAR,FFFF6432,2
# Signal,4,S Apprt.,VA,FFC882FF,2
# Signal,5,PF,PF,FFFF6E6E,2
# Signal,6,Frequency,Hz,FF8CC8FF,4
# Signal,7,Phase Dir,,FFFFDC00,4
# Signal,8,THDi 1,%,FF00DC78,3
# Signal,9,THDi 2,%,FF00BE5F,3
# Signal,10,THDi N,%,FF00FAAA,3
# Signal,11,THDu 1N,%,FF6EB9FF,3
# Signal,12,THDu 2N,%,FF8CD2FF,3
# Signal,13,Current L1,A,FF00C88C,0
# Signal,14,Current L2,A,FF00AA78,0
# Signal,15,Current N,A,FF006E50,0
# Signal,16,Voltage 1N,V,FF82C8FF,1
# Signal,17,Voltage 2N,V,FF96D7FF,1
# Signal,18,P Active L1,W,FFFFC850,2
# Signal,19,P Active L2,W,FFEBB43C,2
# Signal,20,Q React. L1,VAR,FFFF8250,2
# Signal,21,Q React. L2,VAR,FFEB6E3C,2
# Signal,22,S Apprt. L1,VA,FFDC96FF,2
# Signal,23,S Apprt. L2,VA,FFC882EB,2
# Signal,24,PF L1,PF,FFFF8282,2
# Signal,25,PF L2,PF,FFEB6E6E,2
# Signal,26,Angle U1-2,°,FFC8FFC8,4
# Signal,27,Angle U2-3,°,FFB4EBB4,4
# Signal,28,Angle U3-1,°,FFA0D7A0,4
Time (s),Voltage (V),Current (A),P Active (W),Q React. (VAR),S Apprt. (VA),PF (PF),Frequency (Hz),Phase Dir,THDi 1 (%),THDi 2 (%),THDi N (%),THDu 1N (%),THDu 2N (%),Current L1 (A),Current L2 (A),Current N (A),Voltage 1N (V),Voltage 2N (V),P Active L1 (W),P Active L2 (W),Q React. L1 (VAR),Q React. L2 (VAR),S Apprt. L1 (VA),S Apprt. L2 (VA),PF L1 (PF),PF L2 (PF),Angle U1-2 (°),Angle U2-3 (°),Angle U3-1 (°)
11.2172139,235.78,0,0,0,0,1,49.97,-1,0,1.3,3.1,1.8,1.7,0,0,0,235.62,236.18,0,0,0,0,0,0,1,1,120,120,120
11.6283202,235.65,0,0,0,0,1,49.97,-1,0,1.6,1.7,1.8,1.7,0,0,0,235.56,236.02,0,0,0,0,0,0,1,1,120,120,120
12.0499566,235.6,0,0,0,0,1,49.97,-1,0,1.6,1.7,1.8,1.8,0,0,0,235.51,235.96,0,0,0,0,0,0,1,1,121,120,119
12.4368602,235.67,0,0,0,0,1,49.97,-1,0,1.6,1.1,1.8,1.8,0,0,0,235.49,236.09,0,0,0,0,0,0,1,1,120,120,120
12.8409935,235.8,0,0,0,0,1,49.97,-1,0,1.6,1.1,1.9,1.8,0,0,0,235.67,236.18,0,0,0,0,0,0,1,1,120,120,120
13.2522205,235.93,0,0,0,0,1,49.97,-1,0,1.7,1.1,1.9,1.8,0,0,0,235.85,236.27,0,0,0,0,0,0,1,1,120,120,120
13.6755821,236.11,0,0,0,0,1,49.97,-1,0,1.7,2,1.9,1.8,0,0,0,235.98,236.48,0,0,0,0,0,0,1,1,120,120,120
14.0590344,236.11,0,0,0,0,1,49.97,-1,0,1.7,2,1.9,1.9,0,0,0,235.98,236.48,0,0,0,0,0,0,1,1,120,120,120
14.4788045,236.27,0,0,0,0,1,49.98,-1,0,1.4,0.3,1.9,1.9,0,0,0,236.11,236.66,0,0,0,0,0,0,1,1,120,120,120
14.8726879,236.35,0,0,0,0,1,49.98,-1,0,1.4,0.3,1.9,1.8,0,0,0,236.18,236.77,0,0,0,0,0,0,1,1,120,120,120
15.2738422,236.29,0,0,0,0,1,49.98,-1,0.4,1.2,0.3,1.9,1.8,0,0,0,236.16,236.7,0,0,0,0,0,0,1,1,120,120,119
15.6827027,236.13,0,0,0,0,1,49.98,-1,0.4,1.2,3.6,1.9,1.8,0,0,0,236.04,236.49,0,0,0,0,0,0,1,1,120,120,120
16.0970892,235.8,0,0,0,0,1,49.98,-1,0,1.2,3.6,1.8,1.7,0,0,0,235.74,236.16,0,0,0,0,0,0,1,1,120,120,119
16.4878196,235.8,0,0,0,0,1,49.98,-1,0,0.6,3.1,1.8,1.7,0,0,0,235.74,236.16,0,0,0,0,0,0,1,1,120,120,119
16.909781,235.41,0,0,0,0,1,49.98,-1,0,0.6,3.1,1.8,1.8,0,0,0,235.36,235.74,0,0,0,0,0,0,1,1,120,120,119
17.303356,235.25,0,0,0,0,1,49.98,-1,1.2,0.4,2.9,1.8,1.8,0,0,0,235.18,235.54,0,0,0,0,0,0,1,1,120,120,120
17.7137817,235.19,0,0,0,0,1,49.98,-1,1.2,0.4,2.9,2,1.8,0,0,0,235.07,235.54,0,0,0,0,0,0,1,1,120,120,120
18.1240844,235.21,0,0,0,0,1,49.98,-1,0,0.5,2.9,2,1.8,0,0,0,235.16,235.52,0,0,0,0,0,0,1,1,120,120,120
18.5320921,235.34,0,0,0,0,1,49.97,-1,0,0.5,0.5,2,1.8,0,0,0,235.32,235.62,0,0,0,0,0,0,1,1,120,120,120
18.934668,235.34,0,0,0,0,1,49.97,-1,0,0.5,0.5,1.9,1.9,0,0,0,235.32,235.62,0,0,0,0,0,0,1,1,120,120,120
19.3419641,235.6,0,0,0,0,1,49.97,-1,0,0.6,1.3,1.9,1.9,0,0,0,235.47,235.91,0,0,0,0,0,0,1,1,120,120,120
19.7604322,235.82,0,0,0,0,1,49.97,-1,0,0.6,1.3,1.9,1.8,0,0,0,235.72,236.13,0,0,0,0,0,0,1,1,120,120,119
20.1494844,236.07,0,0,0,0,1,49.97,-1,0,2,2.3,1.9,1.8,0,0,0,235.96,236.38,0,0,0,0,0,0,1,1,120,120,119
