# Electric Meter Monitor
# Date,2026-04-13 11:28:59
# SampleInterval,400
# Rows,325
# Signal,0,Voltage,V,FF1E90FF,1
# Signal,1,Current,A,FF00DC96,0
# Signal,2,P Active,W,FFFFB932,2
# Signal,3,Q React.,VAR,FFFF6432,2
# Signal,4,S Apprt.,VA,FFC882FF,2
# Signal,5,PF,PF,FFFF6E6E,2
# Signal,6,Frequency,Hz,FF8CC8FF,4
# Signal,7,Phase Dir,,FFFFDC00,4
# Signal,8,THDi 1,%,FF00DC78,3
# Signal,9,THDi 2,%,FF00BE5F,3
# Signal,10,THDi 3,%,FF00A046,3
# Signal,11,THDi N,%,FF00FAAA,3
# Signal,12,THDu 1N,%,FF6EB9FF,3
# Signal,13,THDu 2N,%,FF8CD2FF,3
# Signal,14,THDu 3N,%,FFAAE6FF,3
# Signal,15,Current L1,A,FF00C88C,0
# Signal,16,Current L2,A,FF00AA78,0
# Signal,17,Current L3,A,FF008C64,0
# Signal,18,Current N,A,FF006E50,0
# Signal,19,Voltage 1N,V,FF82C8FF,1
# Signal,20,Voltage 2N,V,FF96D7FF,1
# Signal,21,Voltage 3N,V,FFAAE6FF,1
# Signal,22,P Active L1,W,FFFFC850,2
# Signal,23,Q React. L1,VAR,FFFF8250,2
# Signal,24,S Apprt. L1,VA,FFDC96FF,2
# Signal,25,PF L1,PF,FFFF8282,2
# Signal,26,PF L2,PF,FFEB6E6E,2
# Signal,27,PF L3,PF,FFD75A5A,2
# Signal,28,Angle U1-2,°,FFC8FFC8,4
# Signal,29,Angle U2-3,°,FFB4EBB4,4
# Signal,30,Angle U3-1,°,FFA0D7A0,4
# Signal,31,ePack V Line,V,FF64DCB4,5
# Signal,32,ePack I rms,A,FF00C88C,5
# Signal,33,ePack Iburst,A,FF00AA6E,5
# Signal,34,ePack I,A,FF008C5A,5
# Signal,35,ePack Vrms,V,FF50B4FF,5
# Signal,36,ePack V,V,FF3C96EB,5
# Signal,37,ePack P burst,W,FFFFD250,5
# Signal,38,ePack P,W,FFFFB932,5
# Signal,39,ePack S,VA,FFC882FF,5
# Signal,40,ePack PF,PF,FFFF6E6E,5
# Signal,41,ePack Z,Ohm,FFB4B464,5
# Signal,42,ePack Frequency,Hz,FF8CC8FF,5
# Signal,43,ePack V burst,V,FF2878D7,5
Time (s),Voltage (V),Current (A),P Active (W),Q React. (VAR),S Apprt. (VA),PF (PF),Frequency (Hz),Phase Dir,THDi 1 (%),THDi 2 (%),THDi 3 (%),THDi N (%),THDu 1N (%),THDu 2N (%),THDu 3N (%),Current L1 (A),Current L2 (A),Current L3 (A),Current N (A),Voltage 1N (V),Voltage 2N (V),Voltage 3N (V),P Active L1 (W),Q React. L1 (VAR),S Apprt. L1 (VA),PF L1 (PF),PF L2 (PF),PF L3 (PF),Angle U1-2 (°),Angle U2-3 (°),Angle U3-1 (°),ePack V Line (V),ePack I rms (A),ePack Iburst (A),ePack I (A),ePack Vrms (V),ePack V (V),ePack P burst (W),ePack P (W),ePack S (VA),ePack PF (PF),ePack Z (Ohm),ePack Frequency (Hz),ePack V burst (V)
16.3915116,236.26,0,0,0,0,1,50.02,-1,0,0,0.7,0,1.6,1.6,1.5,0,0,0,0,235.98,236.68,236.16,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
16.8105344,236.24,0,0,0,0,1,50.02,-1,0,0,0.7,1.2,1.6,1.6,1.5,0,0,0,0,235.96,236.68,236.13,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
17.2085255,236.24,0,0,0,0,1,50.02,-1,0,0,0.7,1.2,1.6,1.7,1.5,0,0,0,0,235.96,236.68,236.13,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
17.6213023,236.35,0,0,0,0,1,50.02,-1,0.2,1.5,0.2,1,1.6,1.7,1.5,0,0,0,0,236.07,236.79,236.22,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0370501,236.49,0,0,0,0,1,50.01,-1,0.2,1.5,0.2,1,1.7,1.8,1.6,0,0,0,0,236.24,236.95,236.33,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
18.4295721,236.7,0,0,0,0,1,50.01,-1,0,2,0.8,1.3,1.7,1.8,1.6,0,0,0,0,236.4,237.12,236.59,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
18.821223,236.95,0,0,0,0,1,50.01,-1,0,2,0.8,1.3,1.7,1.8,1.6,0,0,0,0,236.62,237.39,236.9,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
19.2318909,237.13,0,0,0,0,1,50.01,-1,0,1.1,0.8,1.3,1.7,1.8,1.6,0,0,0,0,236.79,237.61,237.06,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
19.6377678,237.13,0,0,0,0,1,50.01,-1,0,1.1,0.4,0.5,1.7,1.8,1.6,0,0,0,0,236.86,237.57,237.01,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0499084,237.13,0,0,0,0,1,50.02,-1,0,1.1,0.4,0.5,1.7,1.7,1.5,0,0,0,0,236.86,237.57,237.01,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
20.4676169,236.95,0,0,0,0,1,50.02,-1,1.1,0.6,0.4,7.9,1.7,1.7,1.5,0,0,0,0,236.68,237.35,236.84,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
20.8586863,236.84,0,0,0,0,1,50.02,-1,1.1,0.6,0.4,7.9,1.8,1.7,1.6,0,0,0,0,236.57,237.24,236.77,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
21.2763317,237.01,0,0,0,0,1,50.02,-1,0,0,0.5,0,1.8,1.7,1.6,0,0,0,0,236.7,237.45,236.92,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
21.6679688,236.95,0,0,0,0,1,50.02,-1,0,0,0.5,0,1.7,1.7,1.6,0,0,0,0,236.66,237.43,236.81,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0745819,236.77,0,0,0,0,1,50.02,-1,0.3,0,0.5,0,1.7,1.7,1.6,0,0,0,0,236.46,237.23,236.64,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
22.4846296,236.77,0,0,0,0,1,50.02,-1,0.3,0.8,0.6,0,1.7,1.7,1.6,0,0,0,0,236.46,237.23,236.64,0,0,0,1,1,1,120,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
22.899667,236.71,0,0,0,0,1,50.02,-1,0.3,0.8,0.6,0,1.7,1.7,1.5,0,0,0,0,236.33,237.17,236.68,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
23.3144372,236.71,0,0,0,0,1,50.02,-1,0,2.2,0.7,2.5,1.7,1.7,1.5,0,0,0,0,236.49,237.06,236.64,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
23.7070954,236.79,0,0,0,0,1,50.02,-1,0,2.2,0.7,2.5,1.7,1.6,1.5,0,0,0,0,236.55,237.19,236.68,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
24.1052045,236.81,0,0,0,0,1,50.01,-1,0,0.8,0.8,2.5,1.7,1.6,1.5,0,0,0,0,236.59,237.19,236.66,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5170165,236.86,0,0,0,0,1,50.01,-1,0,0.8,0.8,5.5,1.7,1.6,1.5,0,0,0,0,236.62,237.23,236.75,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
24.9215484,236.82,0,0,0,0,1,50.01,-1,0,0.8,0.8,5.5,1.6,1.6,1.4,0,0,0,0,236.57,237.17,236.77,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
25.3261187,236.82,0,0,0,0,1,50.01,-1,0,1.4,0.5,3.9,1.6,1.6,1.4,0,0,0,0,236.57,237.17,236.77,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
25.7440164,236.77,0,0,0,0,1,50.01,-1,0,1.4,0.5,3.9,1.5,1.5,1.4,0,0,0,0,236.51,237.12,236.71,0,0,0,1,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
26.1319466,236.66,0,0,0,0,1,50.01,-1,0,0.8,0.7,0.3,1.5,1.5,1.4,0,0,0,0,236.44,236.99,236.6,0,0,0,1,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
